"Measure code","SEX","YES_NO","COUNTRY_REGION","YEAR","VALUE"
"HFA_640","FEMALE","","AZE","2016","22"
"HFA_640","FEMALE","","AZE","2017","21"
"HFA_640","FEMALE","","BEL","1990","4"
"HFA_640","FEMALE","","BEL","1991","5"
"HFA_640","FEMALE","","BEL","1992","7"
"HFA_640","FEMALE","","BEL","1993","6"
"HFA_640","FEMALE","","BEL","1994","7"
"HFA_640","FEMALE","","BEL","1995","11"
"HFA_640","FEMALE","","BEL","1996","6"
"HFA_640","FEMALE","","BEL","1997","10"
"HFA_640","FEMALE","","BEL","1998","13"
"HFA_640","FEMALE","","BEL","1999","7"
"HFA_640","FEMALE","","BEL","2000","4"
"HFA_640","FEMALE","","BEL","2001","11"
"HFA_640","FEMALE","","BEL","2002","3"
"HFA_640","FEMALE","","BEL","2003","8"
"HFA_640","FEMALE","","BEL","2004","2"
"HFA_640","FEMALE","","BEL","2005","6"
"HFA_640","FEMALE","","BEL","2006","7"
"HFA_640","FEMALE","","BEL","2007","7"
"HFA_640","FEMALE","","BEL","2008","7"
"HFA_640","FEMALE","","BEL","2009","6"
"HFA_640","FEMALE","","BEL","2010","8"
"HFA_640","FEMALE","","BEL","2011","11"
"HFA_640","FEMALE","","BEL","2012","4"
"HFA_640","FEMALE","","BEL","2013","3"
"HFA_640","FEMALE","","BEL","2014","7"
"HFA_640","FEMALE","","BEL","2015","4"
"HFA_640","FEMALE","","BEL","2016","5"
"HFA_640","FEMALE","","BIH","2011","2"
"HFA_640","FEMALE","","BIH","2012","3"
"HFA_640","FEMALE","","BIH","2017","0"
"HFA_640","FEMALE","","BLR","1999","19"
"HFA_640","FEMALE","","BLR","2000","23"
"HFA_640","FEMALE","","BLR","2001","13"
"HFA_640","FEMALE","","BLR","2002","17"
"HFA_640","FEMALE","","BLR","2003","21"
"HFA_640","FEMALE","","BLR","2004","16"
"HFA_640","FEMALE","","BLR","2005","14"
"HFA_640","FEMALE","","BLR","2006","10"
"HFA_640","FEMALE","","BLR","2007","6"
"HFA_640","FEMALE","","BLR","2008","3"
"HFA_640","FEMALE","","BLR","2009","1"
"HFA_640","FEMALE","","BLR","2010","1"
"HFA_640","FEMALE","","BLR","2011","1"
"HFA_640","FEMALE","","BLR","2012","1"
"HFA_640","FEMALE","","BLR","2013","0"
"HFA_640","FEMALE","","BLR","2014","1"
"HFA_640","FEMALE","","BLR","2015","0"
"HFA_640","FEMALE","","BLR","2016","2"
"HFA_640","FEMALE","","BLR","2017","2"
"HFA_640","FEMALE","","BLR","2018","3"
"HFA_640","FEMALE","","CARINFONET","2000","481"
"HFA_640","FEMALE","","CARINFONET","2001","452"
"HFA_640","FEMALE","","CARINFONET","2002","461"
"HFA_640","FEMALE","","CARINFONET","2003","402"
"HFA_640","FEMALE","","CARINFONET","2004","399"
"HFA_640","FEMALE","","CARINFONET","2005","411"
"HFA_640","FEMALE","","CARINFONET","2006","435"
"HFA_640","FEMALE","","CARINFONET","2007","450"
"HFA_640","FEMALE","","CARINFONET","2008","421"
"HFA_640","FEMALE","","CARINFONET","2009","541"
"HFA_640","FEMALE","","CARINFONET","2010","401"
"HFA_640","FEMALE","","CARINFONET","2011","373"
"HFA_640","FEMALE","","CARINFONET","2012","335"
"HFA_640","FEMALE","","CARINFONET","2013","331"
"HFA_640","FEMALE","","CARINFONET","2014","346"
"HFA_640","FEMALE","","CARINFONET","2015","332"
"HFA_640","FEMALE","","CARINFONET","2016","295"
